Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"PRAY FOR ME ON TUESDAYS YALL 😭 Pray for me on Tuesdays yall 😣 Every female athletes knows the additional struggle that our period brings and it just makes us that much stronger!! #sportyourperiod #usarugby #rugby @KNIX ","3567","231","1","1","7","https://www.tiktok.com/@ariana.ramsey/video/7428679662458391851"
"SO MUCH FUNNN last night💕💕💕","1535","127","3","1","0","https://www.tiktok.com/@ariana.ramsey/photo/7428435254702066986"
"Part two coming soon 😂 #rugby #usarugby ","1536","115","3","0","1","https://www.tiktok.com/@ariana.ramsey/video/7427568807192956202"
"Guys, I’m gonna do a #TBT Throwback Olympic Thursday every week from now on! FULL YOURUBE VID IN BIO! But I was definitely feeling like appropriate young man in this opening ceremony outfit!! LOL #usa #olympian #rugby #paris2024 ","949","57","4","0","0","https://www.tiktok.com/@ariana.ramsey/video/7426937280469749034"
"Now that the Olympics is over, these next few months and year is about re-building the foundation of this team. For myself, it’s about rebuilding the small technical details of my play and TRULY FOCUSING ON THE DETAIL. Excited for this next 4 year journey ❤️ #rugby #olympian #usarugby ","954","88","4","0","1","https://www.tiktok.com/@ariana.ramsey/video/7426430985723596074"
"As an Olympian, I’m always on the lookout for the best gear to support my training, even during my downtime. #ad That’s why I’m loving my @Gdefy sneakers! They’re not just comfortable; they make my runs feel effortless. Whether I’m hitting the pavement or just enjoying a casual jog, these shoes have become my go-to. Comfort and performance are everything, and Gdefy delivers both in every step! 🏃‍♀️ #OlympianApproved #Gdefy #gdefyshoes ","2753","90","7","1","8","https://www.tiktok.com/@ariana.ramsey/video/7426098670971505966"
"SAVANNAH SLOW DOWN 😂 #rugby #usa ","2663","280","3","6","3","https://www.tiktok.com/@ariana.ramsey/video/7425713456503885099"
"#CapCut the way i have worked and manifested this life for my self has shown numbers 🤍 all glory to allah 🤍","793","97","5","1","1","https://www.tiktok.com/@ariana.ramsey/video/7425473986022149419"
"No but seriously but lets talk about it because what on earth is going on with US!! ","2189","238","14","1","4","https://www.tiktok.com/@ariana.ramsey/video/7425471483184467242"
"IYKYK ","774","53","3","0","0","https://www.tiktok.com/@ariana.ramsey/video/7425468027308739886"
"HAPPY BIRTHDAY TO THE LOML 🥹💖🥰😍 @Noah Malone ","785","96","1","1","0","https://www.tiktok.com/@ariana.ramsey/video/7425303865907547435"
"We’re having so much fun guys 😂 @Noah Malone ","1436","162","9","4","2","https://www.tiktok.com/@ariana.ramsey/video/7425051029764459819"
"@suglizz 😂😂 hey shes almost there yall 😅","2644","141","7","4","4","https://www.tiktok.com/@ariana.ramsey/video/7424597924392209706"
"First bronco this seasonnnn, let’s go!!! #rugby #usarugby","2857","367","16","2","5","https://www.tiktok.com/@ariana.ramsey/video/7424244548630531370"
"😂😂😂 @Nia Toliver ","2163","168","3","2","2","https://www.tiktok.com/@ariana.ramsey/video/7423909457211526442"
"Were all settled in now what 🤣","1984","285","8","0","1","https://www.tiktok.com/@ariana.ramsey/video/7422849609350778155"
"GUYS I LOVE MY @Lull Bed !! This is actually my favorite mattress brand and I’m so excited to finally get to be a #lullpartner #getyourlullon  Get 50% OFF any Lull mattress PLUS a FREE Comfort Collection and use my special code ARIANAR50 at checkout for an extra $50 OFF ","1029","94","8","0","1","https://www.tiktok.com/@ariana.ramsey/video/7421354959117077803"
"@Noah Malone we’ve come a long way 😂🤍","2462","317","25","2","2","https://www.tiktok.com/@ariana.ramsey/video/7420490179875458347"
"The hardest part really is getting up out of bed 😩","1324","142","11","1","4","https://www.tiktok.com/@ariana.ramsey/video/7418251244546084142"
"SO EXCITINGGGG 😆😆😁","2248","281","18","1","2","https://www.tiktok.com/@ariana.ramsey/video/7416474179689598250"
"Aruba is so beautiful!!! Yall know we both deserved a trip FINALLY after all of the competing 😩❤️   @Noah Malone ","1169","103","6","1","0","https://www.tiktok.com/@ariana.ramsey/photo/7416172751423016238"
"living the actual dream guys","3682","519","15","0","3","https://www.tiktok.com/@ariana.ramsey/video/7415365011834408234"
"Your fav Olymoic couple 🤭🏝️","2261","226","4","1","1","https://www.tiktok.com/@ariana.ramsey/video/7415029277227240746"
"Our first real BAECATION 🩵@Noah Malone ","2432","259","9","3","0","https://www.tiktok.com/@ariana.ramsey/video/7414252881806904622"
"🩵🩵","1045","92","3","1","1","https://www.tiktok.com/@ariana.ramsey/video/7414252107743677738"
"Guess where I’m headed next!!!","1369","105","1","0","0","https://www.tiktok.com/@ariana.ramsey/video/7414136684209556782"
"STORY OF MY LIFE ","2952","422","15","1","5","https://www.tiktok.com/@ariana.ramsey/video/7413137089660816686"
"Guys my acne has been so bad lately 😩 @Avery  🇯🇲 ","1312","65","3","2","1","https://www.tiktok.com/@ariana.ramsey/video/7412985335937912107"
"I went light on her today yall!!  @Avery  🇯🇲 ","2080","225","9","0","2","https://www.tiktok.com/@ariana.ramsey/video/7412749927006260526"
"@tarte cosmetics 💜 thank you!! ","1289","131","10","1","0","https://www.tiktok.com/@ariana.ramsey/video/7412636811220077870"
"Update!!!","2534","195","8","0","3","https://www.tiktok.com/@ariana.ramsey/video/7411867054988348714"
"Your fav medalist couple 🥹","10300","1251","32","9","14","https://www.tiktok.com/@ariana.ramsey/photo/7409948605315894570"
